z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0.023226;0.28759;0.30891;0.47657;0.50532;0.23584;0.18577;;;;;;
0.023463;0.28727;0.3088;0.47605;0.50507;0.23668;0.18613;;;;;;
0.0237;0.28695;0.30869;0.47552;0.50482;0.23753;0.18649;;;;;;
0.023937;0.28664;0.30858;0.47499;0.50457;0.23837;0.18685;;;;;;
0.024174;0.28632;0.30847;0.47447;0.50432;0.23921;0.18721;;;;;;
0.024411;0.286;0.30836;0.47394;0.50407;0.24006;0.18757;;;;;;
0.024648;0.28568;0.30826;0.47342;0.50382;0.2409;0.18793;;;;;;
0.024885;0.28537;0.30815;0.47289;0.50357;0.24174;0.18829;;;;;;
0.025122;0.28505;0.30803;0.47237;0.50331;0.24259;0.18865;;;;;;
0.025359;0.28473;0.30792;0.47184;0.50306;0.24343;0.18902;;;;;;
0.025596;0.28441;0.30781;0.47131;0.50281;0.24427;0.18938;;;;;;
0.025833;0.2841;0.3077;0.47079;0.50256;0.24511;0.18974;;;;;;
0.02607;0.28378;0.30759;0.47026;0.5023;0.24596;0.19011;;;;;;
0.026307;0.28346;0.30748;0.46974;0.50205;0.2468;0.19047;;;;;;
0.026544;0.28315;0.30737;0.46921;0.50179;0.24764;0.19084;;;;;;
0.026781;0.28283;0.30725;0.46868;0.50154;0.24849;0.1912;;;;;;
0.027018;0.28251;0.30714;0.46816;0.50129;0.24933;0.19157;;;;;;
0.027255;0.28219;0.30703;0.46763;0.50103;0.25017;0.19194;;;;;;
0.027492;0.28188;0.30692;0.46711;0.50078;0.25102;0.19231;;;;;;
0.027729;0.28156;0.30681;0.46658;0.50052;0.25186;0.19268;;;;;;
0.027966;0.28124;0.30669;0.46605;0.50026;0.2527;0.19305;;;;;;
0.028203;0.28092;0.30658;0.46553;0.50001;0.25355;0.19342;;;;;;
0.02844;0.28061;0.30647;0.465;0.49975;0.25439;0.19378;;;;;;
0.028677;0.28029;0.30635;0.46448;0.49949;0.25523;0.19416;;;;;;
0.028914;0.27997;0.30624;0.46395;0.49923;0.25608;0.19453;;;;;;
0.029151;0.27965;0.30612;0.46343;0.49898;0.25692;0.1949;;;;;;
0.029388;0.27934;0.30601;0.4629;0.49872;0.25776;0.19527;;;;;;
0.029625;0.27902;0.3059;0.46237;0.49846;0.25861;0.19565;;;;;;
0.029862;0.2787;0.30578;0.46185;0.4982;0.25945;0.19602;;;;;;
0.030099;0.27839;0.30567;0.46132;0.49794;0.26029;0.19639;;;;;;
0.030336;0.27807;0.30555;0.4608;0.49768;0.26114;0.19677;;;;;;
0.030573;0.27775;0.30544;0.46027;0.49742;0.26198;0.19715;;;;;;
0.03081;0.27743;0.30532;0.45974;0.49716;0.26282;0.19752;;;;;;
