phi,		eta
0.646790,	36.578314
0.646938,	36.539380
0.647100,	36.565356
0.647162,	36.530009
0.647396,	36.541342
0.647566,	36.548561
0.647609,	36.527334
0.647786,	36.520294
0.647825,	36.560307
0.647961,	36.513364
0.648155,	36.532914
0.648162,	36.492081
0.648271,	36.462019
0.648493,	36.478859
0.650552,	36.409441
0.651280,	36.384840
0.651532,	36.376688
0.651799,	36.367793
0.652222,	36.320745
0.652244,	36.329737
0.652369,	36.359304
0.652552,	36.319628
0.652805,	36.350665
0.652887,	36.306579
0.653095,	36.321239
0.653431,	36.306770
0.653495,	36.305740
0.655239,	36.250308
0.655594,	36.246340
0.655818,	36.224874
0.656472,	36.209462
0.656700,	36.211787
0.657081,	36.197326
0.657629,	36.156939
0.658019,	36.143130
0.658824,	36.117918
0.659223,	36.081153
0.659464,	36.094282
0.659862,	36.085739
0.660015,	36.110718
0.660258,	36.072286
0.660655,	36.058784
0.661133,	36.041498
0.661429,	36.022679
0.662025,	36.014724
0.662042,	35.969305
0.662936,	35.949273
0.663272,	35.963350
0.663630,	35.947631
0.663687,	35.967490
0.665807,	35.874603
0.666281,	35.854309
0.666880,	35.804810
0.667439,	35.789433
0.667693,	35.802747
0.668561,	35.785468
0.669102,	35.732151
0.669205,	35.768055
0.669869,	35.701458
0.670115,	35.717939
0.670642,	35.750691
0.671123,	35.684080
0.671868,	35.666995
0.672022,	35.642895
0.672176,	35.614933
0.672555,	35.613697
0.672693,	35.627636
0.672820,	35.640215
0.677456,	35.466421
0.678675,	35.419654
0.679032,	35.386308
0.679371,	35.395714
0.681048,	35.361831
0.681496,	35.343834
0.682353,	35.287468
0.683534,	35.267976
0.683771,	35.242162
0.685862,	35.196181
0.688176,	35.124705
0.689566,	35.060721
0.691136,	35.017913
0.692697,	34.939803
0.693466,	34.925486
0.695833,	34.859493
0.697736,	34.793889
0.699707,	34.675130
0.701925,	34.658079
0.704634,	34.539026
0.707825,	34.431076
0.708239,	34.418927
0.728354,	33.759595
0.783782,	32.015825
