# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.15625         	3.86873040e-03	9.75956266e-04	2.58205393e-04	7.89371946e-04	N/A
0.1575          	3.81886943e-03	9.57451960e-04	2.59969835e-04	7.78986338e-04	N/A
0.15875         	3.76862213e-03	9.39208983e-04	2.61961862e-04	7.68731210e-04	N/A
0.16            	3.71682152e-03	9.21092724e-04	2.65395672e-04	7.58602308e-04	N/A
0.16125         	3.66239606e-03	9.03344891e-04	2.71633614e-04	7.48591723e-04	N/A
0.1625          	3.60555407e-03	8.85903840e-04	2.76958293e-04	7.38683503e-04	N/A
0.16375         	3.54577295e-03	8.68593430e-04	2.82983491e-04	7.28856800e-04	N/A
0.165           	3.48190218e-03	8.51582950e-04	2.93603144e-04	7.19102121e-04	N/A
0.16625         	3.41465322e-03	8.35045767e-04	3.09482347e-04	7.09403372e-04	N/A
0.1675          	3.34113636e-03	8.18526565e-04	3.08755162e-04	6.99745840e-04	N/A
0.16875         	3.26356881e-03	8.02366315e-04	3.28311827e-04	6.90103902e-04	N/A
0.17            	3.18041052e-03	7.86712579e-04	3.36497378e-04	6.80449851e-04	N/A
0.17125         	3.09164470e-03	7.71314003e-04	3.40551637e-04	6.70755598e-04	N/A
0.1725          	2.99747966e-03	7.56265599e-04	3.46929371e-04	6.60988153e-04	N/A
0.17375         	2.90034124e-03	7.41723315e-04	3.51060500e-04	6.51127804e-04	N/A
0.175           	2.79910204e-03	7.27438226e-04	3.47314569e-04	6.41145450e-04	N/A
0.17625         	2.69654792e-03	7.13539870e-04	3.41130154e-04	6.31022558e-04	N/A
0.1775          	2.59457964e-03	6.99846621e-04	3.34285632e-04	6.20749456e-04	N/A
0.17875         	2.49295508e-03	6.86232352e-04	3.21176259e-04	6.10323671e-04	N/A
0.18            	2.39507083e-03	6.72732957e-04	3.04715273e-04	5.99753885e-04	N/A
0.18125         	2.30132812e-03	6.59123359e-04	2.85341519e-04	5.89060600e-04	N/A
0.1825          	2.20828773e-03	6.45598238e-04	2.68265554e-04	5.78272790e-04	N/A
