"DEff","Mg","N2","N2Mass","T","U:0","U:1","U:2","UD:0","UD:1","UD:2","acetone","acetoneMass","epsEff","methanol","methanolMass","p","rho","sumWithoutRef","sumZones","phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.372e-05,0.039265,0.18609,0.1327,328,-3.5245e-10,0,0,0.0003362,0,0,0.30631,0.45309,1,0.5076,0.4142,99400,1.4311,0.8673,0,nan,1,0.009243,0.009243,0.0005,0.0005
1.372e-05,0.039253,0.18693,0.13334,328,-3.8998e-10,0,0,0.00033466,0,0,0.30599,0.45276,1,0.50707,0.4139,99400,1.4307,0.86666,0,nan,1,0.00948,0.00948,0.0005,0.0005
1.372e-05,0.039241,0.18778,0.13399,328,-4.0869e-10,0,0,0.00033317,0,0,0.30568,0.45242,1,0.50655,0.41359,99400,1.4303,0.86601,0,nan,1,0.009717,0.009717,0.0005,0.0005
1.372e-05,0.03923,0.18862,0.13463,328,-4.2359e-10,0,0,0.0003317,0,0,0.30536,0.45209,1,0.50602,0.41328,99400,1.4299,0.86537,0,nan,1,0.009954,0.009954,0.0005,0.0005
1.372e-05,0.039218,0.18946,0.13527,328,-4.3849e-10,0,0,0.00033022,0,0,0.30504,0.45175,1,0.5055,0.41298,99400,1.4294,0.86473,0,nan,1,0.010191,0.010191,0.0005,0.0005
1.372e-05,0.039206,0.19031,0.13591,328,-4.5339e-10,0,0,0.00032875,0,0,0.30472,0.45142,1,0.50497,0.41267,99400,1.429,0.86409,0,nan,1,0.010428,0.010428,0.0005,0.0005
1.372e-05,0.039195,0.19115,0.13656,328,-4.6828e-10,0,0,0.00032728,0,0,0.30441,0.45108,1,0.50444,0.41236,99400,1.4286,0.86344,0,nan,1,0.010665,0.010665,0.0005,0.0005
1.372e-05,0.039183,0.19199,0.1372,328,-4.6252e-10,0,0,0.00032585,0,0,0.30409,0.45075,1,0.50392,0.41206,99400,1.4282,0.8628,0,nan,1,0.010902,0.010902,0.0005,0.0005
1.372e-05,0.039171,0.19283,0.13784,328,-4.5191e-10,0,0,0.00032444,0,0,0.30377,0.45041,1,0.50339,0.41175,99400,1.4277,0.86216,0,nan,1,0.011139,0.011139,0.0005,0.0005
1.372e-05,0.03916,0.19368,0.13849,328,-4.4131e-10,0,0,0.00032303,0,0,0.30346,0.45007,1,0.50287,0.41144,99400,1.4273,0.86151,0,nan,1,0.011376,0.011376,0.0005,0.0005
1.372e-05,0.039148,0.19452,0.13913,328,-4.307e-10,0,0,0.00032162,0,0,0.30314,0.44974,1,0.50234,0.41113,99400,1.4269,0.86087,0,nan,1,0.011613,0.011613,0.0005,0.0005
1.372e-05,0.039136,0.19536,0.13978,328,-4.201e-10,0,0,0.00032021,0,0,0.30282,0.4494,1,0.50181,0.41082,99400,1.4265,0.86022,0,nan,1,0.01185,0.01185,0.0005,0.0005
1.372e-05,0.039125,0.19621,0.14042,328,-4.2837e-10,0,0,0.00031885,0,0,0.3025,0.44906,1,0.50129,0.41052,99400,1.426,0.85958,0,nan,1,0.012087,0.012087,0.0005,0.0005
1.372e-05,0.039113,0.19705,0.14107,328,-4.417e-10,0,0,0.0003175,0,0,0.30219,0.44873,1,0.50076,0.41021,99400,1.4256,0.85893,0,nan,1,0.012324,0.012324,0.0005,0.0005
1.372e-05,0.039101,0.19789,0.14171,328,-4.5502e-10,0,0,0.00031615,0,0,0.30187,0.44839,1,0.50024,0.4099,99400,1.4252,0.85829,0,nan,1,0.012561,0.012561,0.0005,0.0005
1.372e-05,0.039089,0.19874,0.14236,328,-4.6835e-10,0,0,0.0003148,0,0,0.30155,0.44805,1,0.49971,0.40959,99400,1.4247,0.85764,0,nan,1,0.012798,0.012798,0.0005,0.0005
1.372e-05,0.039078,0.19958,0.143,328,-4.8168e-10,0,0,0.00031345,0,0,0.30123,0.44771,1,0.49919,0.40928,99400,1.4243,0.857,0,nan,1,0.013035,0.013035,0.0005,0.0005
1.372e-05,0.039066,0.20042,0.14365,328,-4.6163e-10,0,0,0.00031214,0,0,0.30092,0.44737,1,0.49866,0.40897,99400,1.4239,0.85635,0,nan,1,0.013272,0.013272,0.0005,0.0005
1.372e-05,0.039054,0.20127,0.1443,328,-4.315e-10,0,0,0.00031084,0,0,0.3006,0.44704,1,0.49813,0.40866,99400,1.4235,0.8557,0,nan,1,0.013509,0.013509,0.0005,0.0005
1.372e-05,0.039043,0.20211,0.14495,328,-4.0137e-10,0,0,0.00030955,0,0,0.30028,0.4467,1,0.49761,0.40835,99400,1.423,0.85505,0,nan,1,0.013746,0.013746,0.0005,0.0005
1.372e-05,0.039031,0.20295,0.1456,328,-3.7123e-10,0,0,0.00030826,0,0,0.29996,0.44636,1,0.49708,0.40804,99400,1.4226,0.8544,0,nan,1,0.013983,0.013983,0.0005,0.0005
1.372e-05,0.039019,0.2038,0.14624,328,-3.411e-10,0,0,0.00030696,0,0,0.29965,0.44602,1,0.49656,0.40774,99400,1.4222,0.85376,0,nan,1,0.01422,0.01422,0.0005,0.0005
1.372e-05,0.039008,0.20464,0.14689,328,-3.3311e-10,0,0,0.00030571,0,0,0.29933,0.44568,1,0.49603,0.40743,99400,1.4218,0.85311,0,nan,1,0.014457,0.014457,0.0005,0.0005
1.372e-05,0.038996,0.20548,0.14754,328,-3.3262e-10,0,0,0.00030446,0,0,0.29901,0.44534,1,0.4955,0.40711,99400,1.4213,0.85246,0,nan,1,0.014694,0.014694,0.0005,0.0005
1.372e-05,0.038984,0.20633,0.14819,328,-3.3214e-10,0,0,0.00030322,0,0,0.2987,0.445,1,0.49498,0.4068,99400,1.4209,0.85181,0,nan,1,0.014931,0.014931,0.0005,0.0005
1.372e-05,0.038973,0.20717,0.14884,328,-3.3165e-10,0,0,0.00030198,0,0,0.29838,0.44466,1,0.49445,0.40649,99400,1.4205,0.85116,0,nan,1,0.015168,0.015168,0.0005,0.0005
1.372e-05,0.038961,0.20801,0.14949,328,-3.3116e-10,0,0,0.00030074,0,0,0.29806,0.44432,1,0.49393,0.40618,99400,1.4201,0.85051,0,nan,1,0.015405,0.015405,0.0005,0.0005
1.372e-05,0.038949,0.20886,0.15014,328,-3.3117e-10,0,0,0.00029953,0,0,0.29774,0.44398,1,0.4934,0.40587,99400,1.4196,0.84986,0,nan,1,0.015642,0.015642,0.0005,0.0005
1.372e-05,0.038938,0.2097,0.1508,328,-3.3137e-10,0,0,0.00029834,0,0,0.29743,0.44364,1,0.49287,0.40556,99400,1.4192,0.8492,0,nan,1,0.015879,0.015879,0.0005,0.0005
1.372e-05,0.038926,0.21054,0.15145,328,-3.3157e-10,0,0,0.00029715,0,0,0.29711,0.4433,1,0.49235,0.40525,99400,1.4188,0.84855,0,nan,1,0.016116,0.016116,0.0005,0.0005
1.372e-05,0.038914,0.21139,0.1521,328,-3.3178e-10,0,0,0.00029595,0,0,0.29679,0.44296,1,0.49182,0.40494,99400,1.4184,0.8479,0,nan,1,0.016353,0.016353,0.0005,0.0005
1.372e-05,0.038903,0.21223,0.15275,328,-3.3198e-10,0,0,0.00029476,0,0,0.29647,0.44262,1,0.4913,0.40463,99400,1.4179,0.84725,0,nan,1,0.01659,0.01659,0.0005,0.0005
1.372e-05,0.038891,0.21307,0.15341,328,-3.2756e-10,0,0,0.0002936,0,0,0.29616,0.44228,1,0.49077,0.40432,99400,1.4175,0.84659,0,nan,1,0.016827,0.016827,0.0005,0.0005
1.372e-05,0.038879,0.21392,0.15406,328,-3.2122e-10,0,0,0.00029246,0,0,0.29584,0.44194,1,0.49025,0.404,99400,1.4171,0.84594,0,nan,1,0.017064,0.017064,0.0005,0.0005
1.372e-05,0.038868,0.21476,0.15471,328,-3.1487e-10,0,0,0.00029131,0,0,0.29552,0.4416,1,0.48972,0.40369,99400,1.4167,0.84529,0,nan,1,0.017301,0.017301,0.0005,0.0005
1.372e-05,0.038856,0.2156,0.15537,328,-3.0852e-10,0,0,0.00029017,0,0,0.2952,0.44125,1,0.48919,0.40338,99400,1.4162,0.84463,0,nan,1,0.017538,0.017538,0.0005,0.0005
1.372e-05,0.038844,0.21645,0.15602,328,-3.0218e-10,0,0,0.00028902,0,0,0.29489,0.44091,1,0.48867,0.40307,99400,1.4158,0.84398,0,nan,1,0.017775,0.017775,0.0005,0.0005
1.372e-05,0.038833,0.21729,0.15668,328,-3.2593e-10,0,0,0.0002879,0,0,0.29457,0.44057,1,0.48814,0.40275,99400,1.4154,0.84332,0,nan,1,0.018012,0.018012,0.0005,0.0005
1.372e-05,0.038821,0.21813,0.15733,328,-3.6362e-10,0,0,0.0002868,0,0,0.29425,0.44023,1,0.48762,0.40244,99400,1.415,0.84267,0,nan,1,0.018249,0.018249,0.0005,0.0005
1.372e-05,0.038809,0.21897,0.15799,328,-4.0131e-10,0,0,0.0002857,0,0,0.29394,0.43989,1,0.48709,0.40213,99400,1.4145,0.84201,0,nan,1,0.018486,0.018486,0.0005,0.0005
1.372e-05,0.038798,0.21982,0.15864,328,-4.39e-10,0,0,0.0002846,0,0,0.29362,0.43954,1,0.48656,0.40181,99400,1.4141,0.84136,0,nan,1,0.018723,0.018723,0.0005,0.0005
1.372e-05,0.038786,0.22066,0.1593,328,-4.7669e-10,0,0,0.0002835,0,0,0.2933,0.4392,1,0.48604,0.4015,99400,1.4137,0.8407,0,nan,1,0.01896,0.01896,0.0005,0.0005
1.372e-05,0.038774,0.2215,0.15996,328,-4.8876e-10,0,0,0.00028242,0,0,0.29298,0.43886,1,0.48551,0.40119,99400,1.4133,0.84004,0,nan,1,0.019197,0.019197,0.0005,0.0005
