"DEff","Mg","N2","N2Mass","T","U:0","U:1","U:2","UD:0","UD:1","UD:2","acetone","acetoneMass","epsEff","methanol","methanolMass","p","rho","sumWithoutRef","sumZones","phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.372e-05,0.039646,0.15946,0.11262,328,0.00015351,0,0,0.00015175,0,0,0.31683,0.46415,1,0.52371,0.42324,99400,1.445,0.88738,0,nan,1,0.00474,0.00474,0.0005,0.0005
1.372e-05,0.039642,0.15977,0.11285,328,0.00015352,0,0,0.00015168,0,0,0.31674,0.46405,1,0.52349,0.4231,99400,1.4449,0.88715,0,nan,1,0.004977,0.004977,0.0005,0.0005
1.372e-05,0.039639,0.16009,0.11309,328,0.00015354,0,0,0.0001516,0,0,0.31664,0.46396,1,0.52326,0.42296,99400,1.4448,0.88691,0,nan,1,0.005214,0.005214,0.0005,0.0005
1.372e-05,0.039635,0.16041,0.11332,328,0.00015355,0,0,0.00015153,0,0,0.31655,0.46386,1,0.52304,0.42282,99400,1.4446,0.88668,0,nan,1,0.005451,0.005451,0.0005,0.0005
1.372e-05,0.039631,0.16073,0.11356,328,0.00015357,0,0,0.00015146,0,0,0.31645,0.46377,1,0.52282,0.42268,99400,1.4445,0.88644,0,nan,1,0.005688,0.005688,0.0005,0.0005
1.372e-05,0.039627,0.16105,0.11379,328,0.00015358,0,0,0.00015139,0,0,0.31636,0.46367,1,0.52259,0.42253,99400,1.4444,0.88621,0,nan,1,0.005925,0.005925,0.0005,0.0005
1.372e-05,0.039624,0.16137,0.11403,328,0.0001536,0,0,0.00015131,0,0,0.31626,0.46357,1,0.52237,0.42239,99400,1.4442,0.88597,0,nan,1,0.006162,0.006162,0.0005,0.0005
1.372e-05,0.03962,0.16169,0.11427,328,0.00015361,0,0,0.00015124,0,0,0.31617,0.46348,1,0.52214,0.42225,99400,1.4441,0.88573,0,nan,1,0.006399,0.006399,0.0005,0.0005
1.372e-05,0.039616,0.16201,0.11451,328,0.00015362,0,0,0.00015117,0,0,0.31607,0.46338,1,0.52192,0.42211,99400,1.4439,0.88549,0,nan,1,0.006636,0.006636,0.0005,0.0005
1.372e-05,0.039612,0.16233,0.11475,328,0.00015364,0,0,0.0001511,0,0,0.31597,0.46329,1,0.52169,0.42197,99400,1.4438,0.88525,0,nan,1,0.006873,0.006873,0.0005,0.0005
1.372e-05,0.039608,0.16265,0.11498,328,0.00015365,0,0,0.00015103,0,0,0.31588,0.46319,1,0.52147,0.42183,99400,1.4437,0.88502,0,nan,1,0.00711,0.00711,0.0005,0.0005
1.372e-05,0.039605,0.16298,0.11522,328,0.00015367,0,0,0.00015096,0,0,0.31578,0.46309,1,0.52124,0.42168,99400,1.4435,0.88478,0,nan,1,0.007347,0.007347,0.0005,0.0005
1.372e-05,0.039601,0.1633,0.11546,328,0.00015368,0,0,0.00015089,0,0,0.31569,0.463,1,0.52101,0.42154,99400,1.4434,0.88454,0,nan,1,0.007584,0.007584,0.0005,0.0005
1.372e-05,0.039597,0.16363,0.1157,328,0.0001537,0,0,0.00015082,0,0,0.31559,0.4629,1,0.52079,0.4214,99400,1.4432,0.8843,0,nan,1,0.007821,0.007821,0.0005,0.0005
1.372e-05,0.039593,0.16395,0.11594,328,0.00015371,0,0,0.00015075,0,0,0.31549,0.4628,1,0.52056,0.42125,99400,1.4431,0.88406,0,nan,1,0.008058,0.008058,0.0005,0.0005
1.372e-05,0.039589,0.16427,0.11618,328,0.00015373,0,0,0.00015068,0,0,0.3154,0.46271,1,0.52033,0.42111,99400,1.443,0.88382,0,nan,1,0.008295,0.008295,0.0005,0.0005
1.372e-05,0.039585,0.1646,0.11643,328,0.00015374,0,0,0.00015061,0,0,0.3153,0.46261,1,0.5201,0.42097,99400,1.4428,0.88357,0,nan,1,0.008532,0.008532,0.0005,0.0005
1.372e-05,0.039582,0.16492,0.11667,328,0.00015376,0,0,0.00015054,0,0,0.3152,0.46251,1,0.51988,0.42082,99400,1.4427,0.88333,0,nan,1,0.008769,0.008769,0.0005,0.0005
1.372e-05,0.039578,0.16525,0.11691,328,0.00015377,0,0,0.00015047,0,0,0.3151,0.46241,1,0.51965,0.42068,99400,1.4425,0.88309,0,nan,1,0.009006,0.009006,0.0005,0.0005
1.372e-05,0.039574,0.16558,0.11715,328,0.00015379,0,0,0.0001504,0,0,0.31501,0.46231,1,0.51942,0.42053,99400,1.4424,0.88285,0,nan,1,0.009243,0.009243,0.0005,0.0005
1.372e-05,0.03957,0.1659,0.11739,328,0.0001538,0,0,0.00015033,0,0,0.31491,0.46222,1,0.51919,0.42039,99400,1.4423,0.88261,0,nan,1,0.00948,0.00948,0.0005,0.0005
1.372e-05,0.039566,0.16623,0.11764,328,0.00015382,0,0,0.00015026,0,0,0.31481,0.46212,1,0.51896,0.42025,99400,1.4421,0.88236,0,nan,1,0.009717,0.009717,0.0005,0.0005
1.372e-05,0.039562,0.16656,0.11788,328,0.00015383,0,0,0.0001502,0,0,0.31471,0.46202,1,0.51873,0.4201,99400,1.442,0.88212,0,nan,1,0.009954,0.009954,0.0005,0.0005
1.372e-05,0.039558,0.16689,0.11813,328,0.00015385,0,0,0.00015013,0,0,0.31461,0.46192,1,0.5185,0.41996,99400,1.4418,0.88187,0,nan,1,0.010191,0.010191,0.0005,0.0005
1.372e-05,0.039554,0.16722,0.11837,328,0.00015386,0,0,0.00015006,0,0,0.31451,0.46182,1,0.51827,0.41981,99400,1.4417,0.88163,0,nan,1,0.010428,0.010428,0.0005,0.0005
1.372e-05,0.03955,0.16755,0.11862,328,0.00015388,0,0,0.00014999,0,0,0.31442,0.46172,1,0.51804,0.41966,99400,1.4416,0.88138,0,nan,1,0.010665,0.010665,0.0005,0.0005
1.372e-05,0.039547,0.16788,0.11886,328,0.00015389,0,0,0.00014992,0,0,0.31432,0.46162,1,0.51781,0.41952,99400,1.4414,0.88114,0,nan,1,0.010902,0.010902,0.0005,0.0005
1.372e-05,0.039543,0.16821,0.11911,328,0.00015391,0,0,0.00014985,0,0,0.31422,0.46152,1,0.51758,0.41937,99400,1.4413,0.88089,0,nan,1,0.011139,0.011139,0.0005,0.0005
1.372e-05,0.039539,0.16854,0.11935,328,0.00015393,0,0,0.00014979,0,0,0.31412,0.46142,1,0.51734,0.41923,99400,1.4411,0.88065,0,nan,1,0.011376,0.011376,0.0005,0.0005
1.372e-05,0.039535,0.16887,0.1196,328,0.00015394,0,0,0.00014972,0,0,0.31402,0.46132,1,0.51711,0.41908,99400,1.441,0.8804,0,nan,1,0.011613,0.011613,0.0005,0.0005
1.372e-05,0.039531,0.1692,0.11985,328,0.00015396,0,0,0.00014965,0,0,0.31392,0.46122,1,0.51688,0.41893,99400,1.4408,0.88015,0,nan,1,0.01185,0.01185,0.0005,0.0005
1.372e-05,0.039527,0.16953,0.12009,328,0.00015397,0,0,0.00014959,0,0,0.31382,0.46112,1,0.51665,0.41879,99400,1.4407,0.8799,0,nan,1,0.012087,0.012087,0.0005,0.0005
1.372e-05,0.039523,0.16987,0.12034,328,0.00015399,0,0,0.00014952,0,0,0.31372,0.46102,1,0.51641,0.41864,99400,1.4405,0.87966,0,nan,1,0.012324,0.012324,0.0005,0.0005
1.372e-05,0.039519,0.1702,0.12059,328,0.000154,0,0,0.00014945,0,0,0.31362,0.46092,1,0.51618,0.41849,99400,1.4404,0.87941,0,nan,1,0.012561,0.012561,0.0005,0.0005
1.372e-05,0.039515,0.17054,0.12084,328,0.00015402,0,0,0.00014939,0,0,0.31352,0.46081,1,0.51595,0.41834,99400,1.4403,0.87916,0,nan,1,0.012798,0.012798,0.0005,0.0005
1.372e-05,0.039511,0.17087,0.12109,328,0.00015403,0,0,0.00014932,0,0,0.31342,0.46071,1,0.51571,0.4182,99400,1.4401,0.87891,0,nan,1,0.013035,0.013035,0.0005,0.0005
1.372e-05,0.039507,0.17121,0.12134,328,0.00015405,0,0,0.00014926,0,0,0.31332,0.46061,1,0.51548,0.41805,99400,1.44,0.87866,0,nan,1,0.013272,0.013272,0.0005,0.0005
1.372e-05,0.039503,0.17154,0.12159,328,0.00015406,0,0,0.00014919,0,0,0.31322,0.46051,1,0.51524,0.4179,99400,1.4398,0.87841,0,nan,1,0.013509,0.013509,0.0005,0.0005
1.372e-05,0.039499,0.17188,0.12184,328,0.00015408,0,0,0.00014913,0,0,0.31311,0.46041,1,0.51501,0.41775,99400,1.4397,0.87816,0,nan,1,0.013746,0.013746,0.0005,0.0005
1.372e-05,0.039495,0.17222,0.12209,328,0.0001541,0,0,0.00014906,0,0,0.31301,0.46031,1,0.51477,0.4176,99400,1.4395,0.87791,0,nan,1,0.013983,0.013983,0.0005,0.0005
1.372e-05,0.039491,0.17255,0.12234,328,0.00015411,0,0,0.00014899,0,0,0.31291,0.4602,1,0.51454,0.41745,99400,1.4394,0.87766,0,nan,1,0.01422,0.01422,0.0005,0.0005
1.372e-05,0.039487,0.17289,0.1226,328,0.00015413,0,0,0.00014893,0,0,0.31281,0.4601,1,0.5143,0.4173,99400,1.4392,0.8774,0,nan,1,0.014457,0.014457,0.0005,0.0005
1.372e-05,0.039483,0.17323,0.12285,328,0.00015414,0,0,0.00014887,0,0,0.31271,0.46,1,0.51406,0.41716,99400,1.4391,0.87715,0,nan,1,0.014694,0.014694,0.0005,0.0005
1.372e-05,0.039479,0.17357,0.1231,328,0.00015416,0,0,0.0001488,0,0,0.31261,0.45989,1,0.51383,0.41701,99400,1.4389,0.8769,0,nan,1,0.014931,0.014931,0.0005,0.0005
1.372e-05,0.039475,0.17391,0.12335,328,0.00015417,0,0,0.00014874,0,0,0.3125,0.45979,1,0.51359,0.41686,99400,1.4388,0.87665,0,nan,1,0.015168,0.015168,0.0005,0.0005
